year,month,rank_ME,rank_Dur,nstocks,ret_vw
1968,4,2,4,16,15.1643
1968,4,2,5,12,11.6362
1968,4,3,1,32,12.5682
1968,4,3,2,56,8.5200
1968,4,3,3,72,5.3612
1968,4,3,4,89,6.5887
1968,4,3,5,93,10.6999
1968,5,1,1,67,8.8245
1968,5,1,2,47,13.0786
1968,5,1,3,20,16.3157
1968,5,1,4,13,5.7698
1968,5,1,5,18,9.3152
1968,5,2,1,41,6.9730
1968,5,2,2,27,4.7436
1968,5,2,3,28,9.3532
1968,5,2,4,16,9.0460
1968,5,2,5,12,10.7296
1968,5,3,1,32,2.6476
1968,5,3,2,56,2.5580
1968,5,3,3,72,-0.9800
1968,5,3,4,89,2.4581
1968,5,3,5,93,2.5127
1968,6,1,1,67,2.1775
1968,6,1,2,47,2.3459
1968,6,1,3,20,-1.3395
1968,6,1,4,13,2.3736
1968,6,1,5,18,-2.3455
1968,6,2,1,41,0.8517
1968,6,2,2,27,3.0503
1968,6,2,3,28,-0.8410
1968,6,2,4,16,0.5187
1968,6,2,5,12,6.0182
1968,6,3,1,32,-1.4559
1968,6,3,2,56,2.8933
1968,6,3,3,72,2.3544
1968,6,3,4,89,1.6997
1968,6,3,5,93,-0.2340
1968,7,1,1,109,-1.0233
1968,7,1,2,59,-0.7407
1968,7,1,3,73,-4.5041
1968,7,1,4,66,-4.9291
1968,7,1,5,88,-5.2948
1968,7,2,1,62,0.1425
1968,7,2,2,45,0.3504
1968,7,2,3,31,-1.5902
1968,7,2,4,50,-4.9907
1968,7,2,5,43,-9.8106
1968,7,3,1,52,2.4906
1968,7,3,2,83,1.9504
1968,7,3,3,103,-0.0554
1968,7,3,4,102,-1.9123
1968,7,3,5,120,-5.5041
1968,8,1,1,109,4.9198
1968,8,1,2,59,5.3095
1968,8,1,3,73,4.1921
1968,8,1,4,66,4.7926
1968,8,1,5,88,2.9523
1968,8,2,1,62,6.6544
1968,8,2,2,45,2.4695
1968,8,2,3,31,2.4257
1968,8,2,4,50,2.9873
1968,8,2,5,43,1.7752
1968,8,3,1,51,2.0655
1968,8,3,2,83,1.9355
1968,8,3,3,103,1.5767
1968,8,3,4,102,1.2353
1968,8,3,5,120,0.9448
1968,9,1,1,109,7.1398
1968,9,1,2,59,5.8716
1968,9,1,3,73,5.5871
1968,9,1,4,66,11.0542
1968,9,1,5,88,6.3273
1968,9,2,1,62,5.9876
1968,9,2,2,45,4.8283
1968,9,2,3,30,5.8377
1968,9,2,4,50,7.2438
1968,9,2,5,43,7.1635
1968,9,3,1,51,8.0373
1968,9,3,2,83,3.5520
1968,9,3,3,103,4.7055
1968,9,3,4,102,4.9175
1968,9,3,5,120,2.0778
1968,10,1,1,109,1.7851
1968,10,1,2,59,0.5420
1968,10,1,3,73,0.6366
1968,10,1,4,66,0.6775
1968,10,1,5,88,-3.1818
1968,10,2,1,62,1.2389
1968,10,2,2,45,3.4837
1968,10,2,3,30,1.4411
1968,10,2,4,50,-0.2214
1968,10,2,5,43,-0.3367
1968,10,3,1,51,1.4930
1968,10,3,2,83,3.3297
1968,10,3,3,103,1.3911
1968,10,3,4,102,2.3844
1968,10,3,5,120,-1.8615
1968,11,1,1,109,6.4280
1968,11,1,2,59,7.4472
1968,11,1,3,73,7.8125
1968,11,1,4,66,8.1903
1968,11,1,5,88,6.7714
1968,11,2,1,62,6.9020
1968,11,2,2,45,9.4963
1968,11,2,3,31,7.2912
1968,11,2,4,50,10.2244
1968,11,2,5,43,7.2980
1968,11,3,1,51,6.6018
1968,11,3,2,83,5.9956
1968,11,3,3,103,5.4564
1968,11,3,4,102,3.2469
1968,11,3,5,120,6.2580
1968,12,1,1,109,1.1438
1968,12,1,2,59,1.4489
1968,12,1,3,73,0.7818
1968,12,1,4,66,0.7971
1968,12,1,5,88,4.2010
1968,12,2,1,62,-1.1502
1968,12,2,2,45,-1.4682
1968,12,2,3,31,-2.0815
1968,12,2,4,50,-1.1386
1968,12,2,5,43,-0.5341
1968,12,3,1,51,-0.8875
1968,12,3,2,83,-4.6833
1968,12,3,3,103,-1.0817
1968,12,3,4,102,-5.1994
1968,12,3,5,120,-5.0638
1969,1,1,1,109,-2.3576
1969,1,1,2,59,-2.6995
1969,1,1,3,73,0.2827
1969,1,1,4,66,-2.3610
1969,1,1,5,88,0.4049
1969,1,2,1,62,-1.3199
1969,1,2,2,45,0.4539
1969,1,2,3,31,-1.1622
1969,1,2,4,50,-2.2962
1969,1,2,5,43,0.0931
1969,1,3,1,51,0.0765
1969,1,3,2,83,0.1315
1969,1,3,3,103,-0.1816
1969,1,3,4,102,0.1683
1969,1,3,5,120,-2.2651
1969,2,1,1,109,-8.9754
1969,2,1,2,59,-9.2059
1969,2,1,3,73,-9.0512
1969,2,1,4,66,-9.8153
1969,2,1,5,87,-13.4965
1969,2,2,1,62,-7.1130
1969,2,2,2,45,-7.0190
1969,2,2,3,31,-5.2772
1969,2,2,4,50,-9.0935
1969,2,2,5,43,-11.8575
1969,2,3,1,51,-7.4538
1969,2,3,2,83,-4.2015
1969,2,3,3,103,-6.1304
1969,2,3,4,102,-3.5577
1969,2,3,5,120,-3.7503
1969,3,1,1,109,2.1704
1969,3,1,2,59,3.2833
1969,3,1,3,73,2.3518
1969,3,1,4,66,2.5158
1969,3,1,5,87,1.8816
1969,3,2,1,62,5.1638
1969,3,2,2,45,1.4324
1969,3,2,3,31,1.8693
1969,3,2,4,50,1.6081
1969,3,2,5,42,2.4977
1969,3,3,1,51,5.1244
1969,3,3,2,83,2.7653
1969,3,3,3,103,2.6236
1969,3,3,4,102,3.3323
1969,3,3,5,120,3.8062
1969,4,1,1,108,-1.9518
1969,4,1,2,59,2.0960
1969,4,1,3,73,-0.7020
1969,4,1,4,66,2.3541
1969,4,1,5,87,-1.8816
1969,4,2,1,62,2.3264
1969,4,2,2,45,0.6936
1969,4,2,3,30,-0.1901
1969,4,2,4,50,2.7906
1969,4,2,5,42,2.4760
1969,4,3,1,51,1.3386
1969,4,3,2,83,2.6093
1969,4,3,3,102,0.4410
1969,4,3,4,102,1.0990
1969,4,3,5,120,3.6519
1969,5,1,1,108,0.5987
1969,5,1,2,59,1.2864
1969,5,1,3,73,0.0952
1969,5,1,4,66,0.4398
1969,5,1,5,87,2.0858
1969,5,2,1,62,1.7650
1969,5,2,2,45,0.1355
1969,5,2,3,30,1.1516
1969,5,2,4,50,-2.0849
1969,5,2,5,43,-0.3538
1969,5,3,1,50,2.1296
1969,5,3,2,83,1.6021
1969,5,3,3,102,0.9232
1969,5,3,4,102,-0.4390
1969,5,3,5,120,-0.6908
1969,6,1,1,108,-12.5851
1969,6,1,2,59,-13.3768
1969,6,1,3,73,-13.8341
1969,6,1,4,66,-13.0335
1969,6,1,5,87,-14.8883
