year,month,rank_ME,rank_CP,nstocks,ret_vw
1968,4,2,3,56,11.1091
1968,4,2,4,69,13.8333
1968,4,2,5,71,11.0960
1968,4,3,1,160,11.3282
1968,4,3,2,132,8.0337
1968,4,3,3,115,5.1361
1968,4,3,4,75,7.8803
1968,4,3,5,51,10.6998
1968,5,1,1,89,9.6178
1968,5,1,2,79,10.7211
1968,5,1,3,91,10.4875
1968,5,1,4,114,11.6143
1968,5,1,5,202,12.4132
1968,5,2,1,51,10.8402
1968,5,2,2,53,8.8425
1968,5,2,3,55,7.5551
1968,5,2,4,69,5.7211
1968,5,2,5,71,6.5283
1968,5,3,1,160,3.2180
1968,5,3,2,131,0.9673
1968,5,3,3,115,-0.2563
1968,5,3,4,75,1.6446
1968,5,3,5,51,2.7304
1968,6,1,1,89,-0.8600
1968,6,1,2,79,4.1543
1968,6,1,3,91,0.6003
1968,6,1,4,114,-0.0287
1968,6,1,5,202,0.2794
1968,6,2,1,51,-2.9860
1968,6,2,2,53,-0.5088
1968,6,2,3,55,0.0403
1968,6,2,4,69,2.4358
1968,6,2,5,71,0.4927
1968,6,3,1,160,-0.4709
1968,6,3,2,131,1.6736
1968,6,3,3,115,2.6273
1968,6,3,4,75,2.9425
1968,6,3,5,51,-0.7141
1968,7,1,1,181,-5.5152
1968,7,1,2,121,-2.8129
1968,7,1,3,106,-4.2401
1968,7,1,4,79,-1.6881
1968,7,1,5,138,-2.2027
1968,7,2,1,90,-6.7941
1968,7,2,2,61,-5.6039
1968,7,2,3,57,-2.4035
1968,7,2,4,58,-2.1484
1968,7,2,5,67,-0.4230
1968,7,3,1,134,-5.8553
1968,7,3,2,117,-3.2489
1968,7,3,3,100,-1.3914
1968,7,3,4,104,1.9771
1968,7,3,5,74,1.8571
1968,8,1,1,181,4.6725
1968,8,1,2,121,4.9203
1968,8,1,3,106,3.5434
1968,8,1,4,79,4.3156
1968,8,1,5,138,4.5283
1968,8,2,1,90,3.4257
1968,8,2,2,61,3.5487
1968,8,2,3,56,2.4645
1968,8,2,4,58,4.6500
1968,8,2,5,67,4.5740
1968,8,3,1,134,0.7181
1968,8,3,2,116,1.8793
1968,8,3,3,100,1.2683
1968,8,3,4,104,2.4823
1968,8,3,5,74,1.0219
1968,9,1,1,181,6.8599
1968,9,1,2,121,8.4342
1968,9,1,3,106,6.6337
1968,9,1,4,79,8.0691
1968,9,1,5,138,7.3515
1968,9,2,1,90,8.7492
1968,9,2,2,61,6.4234
1968,9,2,3,56,7.3596
1968,9,2,4,57,5.3139
1968,9,2,5,67,5.0956
1968,9,3,1,134,2.4267
1968,9,3,2,116,4.1244
1968,9,3,3,100,5.1098
1968,9,3,4,104,3.0406
1968,9,3,5,74,6.0671
1968,10,1,1,180,-0.6977
1968,10,1,2,121,0.1486
1968,10,1,3,105,1.2159
1968,10,1,4,79,0.8919
1968,10,1,5,138,1.6564
1968,10,2,1,90,-1.3244
1968,10,2,2,61,0.4590
1968,10,2,3,56,2.3706
1968,10,2,4,57,3.3569
1968,10,2,5,67,1.0387
1968,10,3,1,134,-2.4887
1968,10,3,2,116,1.3266
1968,10,3,3,100,2.6600
1968,10,3,4,104,2.2920
1968,10,3,5,73,2.3818
1968,11,1,1,179,7.8917
1968,11,1,2,121,6.7768
1968,11,1,3,105,8.9120
1968,11,1,4,79,6.7343
1968,11,1,5,138,5.7564
1968,11,2,1,90,9.0182
1968,11,2,2,61,8.0304
1968,11,2,3,56,8.0156
1968,11,2,4,58,7.3872
1968,11,2,5,67,7.1359
1968,11,3,1,134,6.9520
1968,11,3,2,116,5.2647
1968,11,3,3,100,3.0371
1968,11,3,4,104,5.0349
1968,11,3,5,73,6.9656
1968,12,1,1,180,4.7546
1968,12,1,2,121,-0.4849
1968,12,1,3,106,-0.7500
1968,12,1,4,79,1.6148
1968,12,1,5,138,1.3568
1968,12,2,1,90,-1.1603
1968,12,2,2,61,-0.5595
1968,12,2,3,56,-0.5342
1968,12,2,4,58,-2.5159
1968,12,2,5,67,-1.6964
1968,12,3,1,134,-5.2486
1968,12,3,2,116,-3.7839
1968,12,3,3,100,-3.3721
1968,12,3,4,104,-3.1922
1968,12,3,5,73,-3.5937
1969,1,1,1,180,-1.1086
1969,1,1,2,121,-2.0472
1969,1,1,3,106,-1.9458
1969,1,1,4,79,-0.1168
1969,1,1,5,138,-1.4445
1969,1,2,1,90,-2.1459
1969,1,2,2,61,-2.6864
1969,1,2,3,56,-0.3270
1969,1,2,4,58,-0.0930
1969,1,2,5,67,-0.5344
1969,1,3,1,134,-2.2697
1969,1,3,2,116,-1.0225
1969,1,3,3,99,0.1660
1969,1,3,4,104,-0.2324
1969,1,3,5,73,0.0090
1969,2,1,1,180,-12.1691
1969,2,1,2,121,-10.3013
1969,2,1,3,106,-8.9564
1969,2,1,4,78,-8.7332
1969,2,1,5,137,-8.4327
1969,2,2,1,90,-9.4346
1969,2,2,2,61,-8.7397
1969,2,2,3,56,-8.2590
1969,2,2,4,58,-6.8679
1969,2,2,5,67,-6.4348
1969,2,3,1,134,-3.9676
1969,2,3,2,116,-5.3931
1969,2,3,3,99,-4.1205
1969,2,3,4,104,-4.6034
1969,2,3,5,73,-5.5389
1969,3,1,1,180,4.3025
1969,3,1,2,121,1.5926
1969,3,1,3,106,0.6731
1969,3,1,4,78,3.2680
1969,3,1,5,137,2.2089
1969,3,2,1,89,3.6737
1969,3,2,2,61,2.1745
1969,3,2,3,56,3.1989
1969,3,2,4,58,2.7941
1969,3,2,5,67,2.2922
1969,3,3,1,134,4.3002
1969,3,3,2,116,1.8663
1969,3,3,3,99,3.4026
1969,3,3,4,104,3.6821
1969,3,3,5,73,2.4788
1969,4,1,1,180,0.3157
1969,4,1,2,121,-0.9654
1969,4,1,3,106,0.4057
1969,4,1,4,77,-1.0536
1969,4,1,5,136,-1.5681
1969,4,2,1,89,2.1394
1969,4,2,2,60,1.1702
1969,4,2,3,56,2.3234
1969,4,2,4,58,1.2492
1969,4,2,5,67,0.4865
1969,4,3,1,134,4.0918
1969,4,3,2,116,2.0853
1969,4,3,3,98,0.5924
1969,4,3,4,103,-0.2972
1969,4,3,5,73,3.5983
1969,5,1,1,180,3.1607
1969,5,1,2,121,-0.4015
1969,5,1,3,106,0.6136
1969,5,1,4,78,1.0094
1969,5,1,5,136,-0.5358
1969,5,2,1,90,0.5202
1969,5,2,2,60,-1.0428
1969,5,2,3,56,1.0794
1969,5,2,4,58,1.7532
1969,5,2,5,67,-0.6646
1969,5,3,1,134,-0.3560
1969,5,3,2,116,-1.3069
1969,5,3,3,98,0.3458
1969,5,3,4,103,1.0802
1969,5,3,5,72,2.4331
1969,6,1,1,180,-16.5391
1969,6,1,2,121,-12.2843
1969,6,1,3,106,-12.5382
1969,6,1,4,79,-11.8737
1969,6,1,5,136,-12.1619
1969,6,2,1,90,-12.0316
1969,6,2,2,61,-10.5950
1969,6,2,3,56,-11.0197
1969,6,2,4,58,-9.4209
1969,6,2,5,67,-9.3938
1969,6,3,1,134,-1.6695
1969,6,3,2,115,-6.6249
1969,6,3,3,99,-7.1345
1969,6,3,4,103,-8.1656
1969,6,3,5,72,-7.5046
1969,7,1,1,273,-13.0129
1969,7,1,2,148,-11.1390
1969,7,1,3,109,-12.2294
1969,7,1,4,87,-8.7315
1969,7,1,5,92,-8.3167
1969,7,2,1,113,-10.4550
1969,7,2,2,64,-10.6652
1969,7,2,3,64,-7.1803
1969,7,2,4,58,-6.8655
1969,7,2,5,64,-7.3990
1969,7,3,1,122,-4.3097
1969,7,3,2,110,-4.9664
1969,7,3,3,102,-7.1188
1969,7,3,4,114,-7.1374
1969,7,3,5,107,-6.4382
1969,8,1,1,273,4.8498
1969,8,1,2,148,5.3399
1969,8,1,3,109,4.2570
1969,8,1,4,87,1.7599
1969,8,1,5,92,3.7011
1969,8,2,1,113,8.2377
1969,8,2,2,64,6.0479
1969,8,2,3,64,4.8432
1969,8,2,4,58,3.5797
1969,8,2,5,64,4.0053
1969,8,3,1,122,7.5450
1969,8,3,2,110,5.8012
1969,8,3,3,102,3.4536
1969,8,3,4,114,3.5474
1969,8,3,5,107,2.5734
1969,9,1,1,273,-3.2561
1969,9,1,2,148,-3.4140
1969,9,1,3,109,-4.1982
1969,9,1,4,87,-1.2414
1969,9,1,5,92,-3.1450
1969,9,2,1,113,1.4006
1969,9,2,2,62,-2.1404
1969,9,2,3,64,-0.4091
1969,9,2,4,58,-1.8252
1969,9,2,5,63,-1.3097
1969,9,3,1,121,0.1744
1969,9,3,2,110,-0.8781
1969,9,3,3,102,-3.5483
1969,9,3,4,114,-3.7976
1969,9,3,5,107,-5.4838
1969,10,1,1,273,14.3339
1969,10,1,2,148,9.8218
1969,10,1,3,108,7.8601
1969,10,1,4,87,7.2604
