year,month,rank_ME,rank_DP,nstocks,ret_vw
1969,1,1,3,85,-0.9500
1969,1,1,4,77,-1.4694
1969,1,1,5,60,-0.9532
1969,1,2,1,80,-1.1492
1969,1,2,2,64,-1.5868
1969,1,2,3,60,-1.3944
1969,1,2,4,56,-0.8406
1969,1,2,5,58,1.1570
1969,1,3,1,121,-2.5784
1969,1,3,2,107,-0.8754
1969,1,3,3,91,-0.4262
1969,1,3,4,104,-0.7029
1969,1,3,5,112,1.0210
1969,2,1,1,128,-11.6303
1969,2,1,2,110,-9.1622
1969,2,1,3,84,-7.1371
1969,2,1,4,75,-5.6849
1969,2,1,5,60,-6.9243
1969,2,2,1,79,-8.6286
1969,2,2,2,63,-8.0421
1969,2,2,3,59,-7.1902
1969,2,2,4,54,-6.6709
1969,2,2,5,58,-5.4842
1969,2,3,1,121,-4.2619
1969,2,3,2,107,-4.6324
1969,2,3,3,91,-5.6079
1969,2,3,4,104,-5.3393
1969,2,3,5,112,-3.3530
1969,3,1,1,127,3.6367
1969,3,1,2,108,3.1208
1969,3,1,3,84,2.5973
1969,3,1,4,75,0.2356
1969,3,1,5,60,0.6850
1969,3,2,1,79,3.9226
1969,3,2,2,63,3.3800
1969,3,2,3,59,2.7329
1969,3,2,4,53,4.0452
1969,3,2,5,57,-1.3384
1969,3,3,1,121,4.2950
1969,3,3,2,107,2.7651
1969,3,3,3,91,2.5591
1969,3,3,4,104,5.1452
1969,3,3,5,112,1.7656
1969,4,1,1,125,-0.1461
1969,4,1,2,107,-0.7662
1969,4,1,3,84,-1.0306
1969,4,1,4,75,-0.3857
1969,4,1,5,60,-1.8898
1969,4,2,1,79,3.5091
1969,4,2,2,63,1.1548
1969,4,2,3,59,-0.5410
1969,4,2,4,51,0.9245
1969,4,2,5,57,-0.1239
1969,4,3,1,121,3.3585
1969,4,3,2,106,2.4885
1969,4,3,3,90,1.9547
1969,4,3,4,103,0.6623
1969,4,3,5,112,1.8844
1969,5,1,1,123,-0.9695
1969,5,1,2,107,2.2523
1969,5,1,3,84,0.6762
1969,5,1,4,75,-0.3992
1969,5,1,5,60,-0.9724
1969,5,2,1,79,0.7007
1969,5,2,2,63,1.7102
1969,5,2,3,59,0.0992
1969,5,2,4,51,0.2177
1969,5,2,5,57,-0.0521
1969,5,3,1,121,0.0012
1969,5,3,2,105,0.1746
1969,5,3,3,88,-0.1671
1969,5,3,4,103,1.3067
1969,5,3,5,112,0.8872
1969,6,1,1,123,-14.9813
1969,6,1,2,107,-13.2247
1969,6,1,3,84,-11.8050
1969,6,1,4,75,-9.7083
1969,6,1,5,60,-8.8105
1969,6,2,1,79,-11.0790
1969,6,2,2,63,-11.4361
1969,6,2,3,59,-9.0980
1969,6,2,4,52,-10.7965
1969,6,2,5,57,-7.8434
1969,6,3,1,121,-2.6332
1969,6,3,2,106,-6.1336
1969,6,3,3,87,-6.9835
1969,6,3,4,102,-8.2354
1969,6,3,5,109,-5.8238
1969,7,1,1,109,-11.2617
1969,7,1,2,109,-12.1920
1969,7,1,3,93,-10.8965
1969,7,1,4,85,-8.1406
1969,7,1,5,74,-7.0629
1969,7,2,1,77,-9.1546
1969,7,2,2,67,-10.5370
1969,7,2,3,69,-7.8625
1969,7,2,4,58,-6.9952
1969,7,2,5,49,-5.3084
1969,7,3,1,122,-4.8153
1969,7,3,2,112,-6.7168
1969,7,3,3,95,-6.2263
1969,7,3,4,101,-6.5940
1969,7,3,5,114,-5.4672
1969,8,1,1,108,5.1070
1969,8,1,2,109,5.5636
1969,8,1,3,93,4.9998
1969,8,1,4,85,1.4581
1969,8,1,5,74,1.7084
1969,8,2,1,76,10.1180
1969,8,2,2,67,6.6497
1969,8,2,3,68,6.5063
1969,8,2,4,58,3.1041
1969,8,2,5,49,0.7436
1969,8,3,1,121,7.7218
1969,8,3,2,112,6.3405
