year,month,rank_ME,rank_IR,nstocks,ret_vw
1968,9,2,5,35,5.8341
1968,9,3,1,64,4.2377
1968,9,3,2,87,3.4585
1968,9,3,3,83,4.1884
1968,9,3,4,95,5.5914
1968,9,3,5,90,1.9747
1968,10,1,1,42,3.2612
1968,10,1,2,33,1.6623
1968,10,1,3,29,1.8225
1968,10,1,4,43,-0.5868
1968,10,1,5,32,1.6392
1968,10,2,1,43,1.8927
1968,10,2,2,31,0.7100
1968,10,2,3,36,0.9309
1968,10,2,4,23,1.7658
1968,10,2,5,35,0.0233
1968,10,3,1,64,3.3826
1968,10,3,2,87,1.6479
1968,10,3,3,83,3.0527
1968,10,3,4,95,1.3354
1968,10,3,5,90,-3.9682
1968,11,1,1,42,4.2603
1968,11,1,2,33,6.9374
1968,11,1,3,29,6.2716
1968,11,1,4,43,6.4277
1968,11,1,5,32,9.5260
1968,11,2,1,43,7.4901
1968,11,2,2,31,8.4356
1968,11,2,3,37,8.6523
1968,11,2,4,23,6.2400
1968,11,2,5,35,9.0291
1968,11,3,1,64,4.7952
1968,11,3,2,87,6.7168
1968,11,3,3,83,2.5848
1968,11,3,4,95,5.0603
1968,11,3,5,90,7.6738
1968,12,1,1,42,0.5594
1968,12,1,2,33,1.7257
1968,12,1,3,29,1.0026
1968,12,1,4,43,0.1024
1968,12,1,5,32,1.5323
1968,12,2,1,43,-2.3036
1968,12,2,2,31,0.0150
1968,12,2,3,37,-0.1793
1968,12,2,4,23,0.0422
1968,12,2,5,35,-0.6522
1968,12,3,1,64,-4.5791
1968,12,3,2,87,-2.8933
1968,12,3,3,83,-2.4591
1968,12,3,4,95,-5.1581
1968,12,3,5,90,-4.7832
1969,1,1,1,42,-1.3068
1969,1,1,2,33,-2.1996
1969,1,1,3,29,-2.1796
1969,1,1,4,43,-1.9856
1969,1,1,5,32,-3.4145
1969,1,2,1,43,-0.2993
1969,1,2,2,31,-1.7528
1969,1,2,3,37,-0.8253
1969,1,2,4,23,1.9597
1969,1,2,5,35,-2.6446
1969,1,3,1,64,0.9683
1969,1,3,2,87,0.0878
1969,1,3,3,83,-0.2027
1969,1,3,4,95,-1.0135
1969,1,3,5,90,-2.7659
1969,2,1,1,41,-8.4762
