year,month,rank_ME,rank_EPq_12,nstocks,ret_vw
1968,10,1,5,362,1.4121
1968,10,2,1,226,-0.8847
1968,10,2,2,207,0.4139
1968,10,2,3,214,1.2200
1968,10,2,4,186,2.6633
1968,10,2,5,194,2.1403
1968,10,3,1,246,-2.3888
1968,10,3,2,299,0.8340
1968,10,3,3,340,1.9068
1968,10,3,4,317,2.7846
1968,10,3,5,255,1.8624
1968,11,1,1,428,8.3864
1968,11,1,2,375,6.6756
1968,11,1,3,341,8.0207
1968,11,1,4,318,7.5775
1968,11,1,5,373,6.9428
1968,11,2,1,243,8.9684
1968,11,2,2,219,7.7936
1968,11,2,3,217,7.5637
1968,11,2,4,192,8.4734
1968,11,2,5,208,7.0015
1968,11,3,1,253,6.5169
1968,11,3,2,309,5.2654
1968,11,3,3,350,6.0976
1968,11,3,4,329,4.9648
1968,11,3,5,258,5.4000
1968,12,1,1,431,3.3921
1968,12,1,2,373,1.0891
1968,12,1,3,332,0.9693
1968,12,1,4,322,-0.0368
1968,12,1,5,367,0.3398
1968,12,2,1,245,-1.1637
1968,12,2,2,222,-0.5766
1968,12,2,3,218,-0.9356
1968,12,2,4,194,-2.3637
1968,12,2,5,208,-1.4162
1968,12,3,1,253,-5.0864
1968,12,3,2,305,-4.0612
1968,12,3,3,343,-3.3586
1968,12,3,4,328,-4.0217
1968,12,3,5,255,-1.8556
1969,1,1,1,424,-2.1022
1969,1,1,2,351,-1.6734
1969,1,1,3,317,-1.5701
1969,1,1,4,305,-1.8388
1969,1,1,5,356,-1.3023
1969,1,2,1,237,-2.3571
1969,1,2,2,221,-2.4306
1969,1,2,3,208,-1.1660
1969,1,2,4,188,-0.0437
1969,1,2,5,202,0.3201
1969,1,3,1,256,-2.0104
1969,1,3,2,302,-0.7992
1969,1,3,3,335,-1.2763
1969,1,3,4,328,0.0715
1969,1,3,5,243,0.0635
1969,2,1,1,447,-11.4104
1969,2,1,2,374,-8.9385
1969,2,1,3,334,-8.3019
1969,2,1,4,320,-7.9309
1969,2,1,5,362,-8.0649
1969,2,2,1,241,-9.5221
1969,2,2,2,229,-8.5045
1969,2,2,3,215,-8.5394
1969,2,2,4,193,-6.6034
1969,2,2,5,208,-6.9181
1969,2,3,1,268,-3.6300
1969,2,3,2,308,-5.1359
1969,2,3,3,349,-5.3102
1969,2,3,4,336,-3.9652
1969,2,3,5,256,-6.1784
1969,3,1,1,450,4.5149
1969,3,1,2,377,2.8498
1969,3,1,3,339,1.3904
1969,3,1,4,326,1.0935
1969,3,1,5,362,1.7376
1969,3,2,1,236,3.6203
1969,3,2,2,231,3.0216
1969,3,2,3,209,1.6967
1969,3,2,4,195,2.0149
1969,3,2,5,210,2.1160
1969,3,3,1,262,4.5525
1969,3,3,2,309,3.0778
1969,3,3,3,352,2.2296
1969,3,3,4,335,3.3304
1969,3,3,5,256,2.7261
1969,4,1,1,432,1.1489
1969,4,1,2,365,-0.2894
1969,4,1,3,327,-1.6465
1969,4,1,4,312,-0.9572
1969,4,1,5,338,-0.8278
1969,4,2,1,232,2.0494
1969,4,2,2,223,0.7850
1969,4,2,3,199,0.9281
1969,4,2,4,193,-0.1227
1969,4,2,5,199,0.2483
1969,4,3,1,252,4.0726
1969,4,3,2,293,2.4615
1969,4,3,3,342,1.6312
1969,4,3,4,322,1.7619
1969,4,3,5,255,0.0275
1969,5,1,1,464,1.2403
1969,5,1,2,376,0.3332
1969,5,1,3,345,0.1852
1969,5,1,4,316,-0.0374
1969,5,1,5,362,-0.0522
1969,5,2,1,243,1.0597
1969,5,2,2,236,-0.1115
1969,5,2,3,204,-0.4354
1969,5,2,4,208,0.5013
1969,5,2,5,208,-0.6771
1969,5,3,1,256,0.0806
1969,5,3,2,312,-0.6139
1969,5,3,3,353,0.4479
1969,5,3,4,330,1.2729
1969,5,3,5,267,0.9512
1969,6,1,1,470,-14.3213
1969,6,1,2,380,-12.8894
1969,6,1,3,343,-12.2444
1969,6,1,4,314,-11.8842
1969,6,1,5,362,-11.6280
1969,6,2,1,250,-11.8845
1969,6,2,2,233,-11.2453
1969,6,2,3,211,-10.3019
1969,6,2,4,208,-10.2968
1969,6,2,5,213,-10.1990
1969,6,3,1,251,-1.3255
1969,6,3,2,315,-6.8359
1969,6,3,3,355,-7.8051
1969,6,3,4,330,-7.3439
1969,6,3,5,268,-7.2288
1969,7,1,1,459,-11.6160
1969,7,1,2,369,-10.6184
1969,7,1,3,340,-10.7791
1969,7,1,4,305,-9.5720
1969,7,1,5,350,-10.0192
1969,7,2,1,243,-11.0327
1969,7,2,2,222,-8.4663
1969,7,2,3,200,-8.4868
1969,7,2,4,205,-7.3708
1969,7,2,5,203,-7.7882
1969,7,3,1,235,-4.2433
1969,7,3,2,309,-5.7394
1969,7,3,3,347,-5.8442
1969,7,3,4,318,-7.3280
1969,7,3,5,259,-6.7623
1969,8,1,1,474,5.4813
1969,8,1,2,409,6.1446
1969,8,1,3,352,4.6082
1969,8,1,4,325,3.9489
1969,8,1,5,362,4.0166
1969,8,2,1,251,8.8963
1969,8,2,2,232,7.5297
1969,8,2,3,211,5.2018
1969,8,2,4,214,3.6519
1969,8,2,5,204,4.2790
1969,8,3,1,247,6.9194
1969,8,3,2,320,4.9768
1969,8,3,3,351,3.8825
1969,8,3,4,324,3.6096
1969,8,3,5,267,3.0819
1969,9,1,1,475,-2.7294
1969,9,1,2,422,-3.2444
1969,9,1,3,362,-4.1572
1969,9,1,4,335,-3.7337
1969,9,1,5,367,-3.0030
1969,9,2,1,252,-0.3244
1969,9,2,2,230,-0.1772
1969,9,2,3,214,-1.2484
1969,9,2,4,221,-1.5399
1969,9,2,5,205,-0.6461
1969,9,3,1,248,0.1019
1969,9,3,2,318,-2.5181
1969,9,3,3,353,-3.9174
1969,9,3,4,327,-4.8390
1969,9,3,5,267,-3.0939
1969,10,1,1,462,12.1551
1969,10,1,2,411,11.1594
1969,10,1,3,365,9.5638
1969,10,1,4,332,9.0380
1969,10,1,5,369,8.4995
1969,10,2,1,245,8.0262
1969,10,2,2,227,6.5956
1969,10,2,3,213,6.5340
1969,10,2,4,216,7.2770
1969,10,2,5,203,7.3187
1969,10,3,1,246,5.8768
1969,10,3,2,317,6.2126
1969,10,3,3,340,4.8084
1969,10,3,4,321,2.8486
1969,10,3,5,259,6.0397
1969,11,1,1,482,-6.1815
1969,11,1,2,429,-6.6800
1969,11,1,3,372,-6.0736
1969,11,1,4,345,-5.8281
1969,11,1,5,389,-6.1022
1969,11,2,1,255,-3.4148
1969,11,2,2,245,-4.8586
1969,11,2,3,229,-4.7692
1969,11,2,4,222,-4.9443
1969,11,2,5,209,-4.5994
1969,11,3,1,260,-1.3205
1969,11,3,2,328,-3.1454
1969,11,3,3,348,-3.1074
1969,11,3,4,334,-3.7526
1969,11,3,5,263,-4.3988
1969,12,1,1,481,-8.3336
1969,12,1,2,437,-5.7757
1969,12,1,3,364,-7.2417
1969,12,1,4,346,-6.0382
1969,12,1,5,392,-7.4880
1969,12,2,1,251,-4.4731
1969,12,2,2,250,-3.4247
1969,12,2,3,232,-3.9890
1969,12,2,4,225,-5.0461
1969,12,2,5,208,-4.7325
1969,12,3,1,261,1.1985
1969,12,3,2,329,-1.5658
1969,12,3,3,350,-3.6199
1969,12,3,4,327,-2.3631
1969,12,3,5,261,-2.8783
1970,1,1,1,463,-4.0120
1970,1,1,2,429,-3.5273
1970,1,1,3,368,-2.7221
1970,1,1,4,357,-3.1217
1970,1,1,5,389,-3.0626
1970,1,2,1,240,-5.8923
1970,1,2,2,251,-6.7056
1970,1,2,3,230,-5.6768
1970,1,2,4,228,-4.5247
1970,1,2,5,195,-4.8042
1970,1,3,1,261,-7.7867
1970,1,3,2,320,-7.6018
1970,1,3,3,344,-7.1498
1970,1,3,4,324,-8.6881
1970,1,3,5,257,-7.5708
1970,2,1,1,478,3.0793
1970,2,1,2,454,2.7565
1970,2,1,3,383,2.9468
1970,2,1,4,370,4.2507
1970,2,1,5,409,2.9880
1970,2,2,1,252,2.7259
1970,2,2,2,271,4.1100
1970,2,2,3,239,4.4183
1970,2,2,4,241,3.9235
1970,2,2,5,208,4.0590
1970,2,3,1,272,3.5376
1970,2,3,2,328,6.4380
1970,2,3,3,348,7.3432
1970,2,3,4,327,6.5572
1970,2,3,5,263,7.2471
1970,3,1,1,480,-4.9651
1970,3,1,2,453,-5.1153
1970,3,1,3,394,-3.1498
1970,3,1,4,372,-1.7045
1970,3,1,5,420,-1.4918
1970,3,2,1,255,-3.4375
1970,3,2,2,270,-3.6225
1970,3,2,3,247,-1.5877
1970,3,2,4,240,-0.2546
1970,3,2,5,210,0.5720
1970,3,3,1,273,-2.5793
1970,3,3,2,331,0.4176
1970,3,3,3,347,1.1125
1970,3,3,4,326,1.8810
1970,3,3,5,258,1.3328
1970,4,1,1,450,-21.9444
1970,4,1,2,430,-18.7438
1970,4,1,3,384,-15.6006
1970,4,1,4,374,-13.6252
1970,4,1,5,428,-14.8722
1970,4,2,1,247,-20.5576
1970,4,2,2,265,-16.3201
1970,4,2,3,245,-13.3960
1970,4,2,4,230,-11.9184
1970,4,2,5,207,-11.8219
1970,4,3,1,265,-10.5924
1970,4,3,2,317,-10.2417
1970,4,3,3,336,-8.4547
1970,4,3,4,312,-8.0409
1970,4,3,5,246,-8.9976
1970,5,1,1,457,-9.5312
1970,5,1,2,445,-9.7148
1970,5,1,3,402,-9.9847
1970,5,1,4,404,-9.4337
1970,5,1,5,462,-9.4305
1970,5,2,1,254,-12.0837
1970,5,2,2,272,-9.7860
1970,5,2,3,251,-9.1341
1970,5,2,4,240,-8.1065
1970,5,2,5,217,-9.0606
1970,5,3,1,280,-8.3824
1970,5,3,2,337,-6.0611
