year,month,rank_ME,rank_SP,nstocks,ret_vw
1968,8,3,4,92,2.0224
1968,8,3,5,48,2.2911
1968,9,1,1,90,10.3352
1968,9,1,2,91,5.8340
1968,9,1,3,108,6.6740
1968,9,1,4,128,5.9102
1968,9,1,5,247,8.2091
1968,9,2,1,63,6.6968
1968,9,2,2,72,4.8452
1968,9,2,3,66,7.9607
1968,9,2,4,63,7.0306
1968,9,2,5,72,7.1656
1968,9,3,1,167,1.8708
1968,9,3,2,116,4.5514
1968,9,3,3,107,4.9023
1968,9,3,4,92,7.1548
1968,9,3,5,48,6.9746
1968,10,1,1,90,-1.8151
1968,10,1,2,90,-0.5079
1968,10,1,3,107,2.4634
1968,10,1,4,128,-0.5935
1968,10,1,5,247,1.3774
1968,10,2,1,63,-0.3535
1968,10,2,2,72,0.5474
1968,10,2,3,66,-0.2976
1968,10,2,4,63,3.0450
1968,10,2,5,72,1.5272
1968,10,3,1,167,-1.0687
1968,10,3,2,116,1.5453
1968,10,3,3,107,2.7648
1968,10,3,4,92,1.8598
1968,10,3,5,47,1.1069
1968,11,1,1,90,8.2203
1968,11,1,2,89,6.8085
1968,11,1,3,107,5.5305
1968,11,1,4,128,7.0110
1968,11,1,5,247,7.5909
1968,11,2,1,63,8.6519
1968,11,2,2,72,7.6458
1968,11,2,3,67,8.8560
1968,11,2,4,63,7.7133
1968,11,2,5,72,7.1453
1968,11,3,1,167,6.8182
1968,11,3,2,116,5.4935
1968,11,3,3,107,4.0038
1968,11,3,4,92,5.6186
1968,11,3,5,47,2.8168
1968,12,1,1,90,5.6424
1968,12,1,2,90,1.8276
1968,12,1,3,108,0.3000
1968,12,1,4,128,0.5293
1968,12,1,5,247,2.1901
1968,12,2,1,63,-0.3102
1968,12,2,2,72,-2.5698
1968,12,2,3,67,-0.5220
1968,12,2,4,63,-2.2021
1968,12,2,5,72,-1.3072
1968,12,3,1,167,-4.8417
1968,12,3,2,116,-3.4849
1968,12,3,3,107,-3.6932
1968,12,3,4,92,-2.5924
1968,12,3,5,47,-3.9304
1969,1,1,1,90,-1.5661
1969,1,1,2,90,-1.3466
1969,1,1,3,108,-3.2922
1969,1,1,4,128,0.2793
1969,1,1,5,247,-1.1364
1969,1,2,1,63,0.2180
1969,1,2,2,72,-0.6674
1969,1,2,3,67,-1.8965
1969,1,2,4,63,-2.1169
1969,1,2,5,72,-1.7884
1969,1,3,1,167,-0.7742
1969,1,3,2,116,-0.1524
1969,1,3,3,106,-1.6957
1969,1,3,4,92,-0.1671
1969,1,3,5,47,-2.3323
1969,2,1,1,90,-12.1248
1969,2,1,2,89,-10.5168
1969,2,1,3,108,-9.0697
1969,2,1,4,128,-9.2677
1969,2,1,5,245,-9.8258
1969,2,2,1,63,-10.0925
1969,2,2,2,72,-8.2803
1969,2,2,3,67,-7.4712
1969,2,2,4,63,-7.3453
1969,2,2,5,72,-7.3160
1969,2,3,1,167,-3.8837
1969,2,3,2,116,-5.2403
1969,2,3,3,106,-4.2167
1969,2,3,4,92,-6.4980
1969,2,3,5,47,-5.4066
1969,3,1,1,90,3.5494
1969,3,1,2,89,2.2576
1969,3,1,3,108,0.2854
1969,3,1,4,128,2.2387
1969,3,1,5,245,3.6028
1969,3,2,1,62,4.6610
1969,3,2,2,72,-0.8515
1969,3,2,3,67,3.5233
1969,3,2,4,63,3.3060
1969,3,2,5,72,3.5773
1969,3,3,1,167,2.5404
1969,3,3,2,116,4.4892
1969,3,3,3,106,3.5746
1969,3,3,4,92,4.1330
1969,3,3,5,47,1.8949
1969,4,1,1,90,0.6468
1969,4,1,2,89,0.8835
1969,4,1,3,108,-2.8698
1969,4,1,4,128,0.5665
1969,4,1,5,243,-0.7622
1969,4,2,1,62,1.9724
1969,4,2,2,72,2.8480
1969,4,2,3,66,2.3900
1969,4,2,4,63,-0.3200
1969,4,2,5,72,0.5781
1969,4,3,1,167,3.5406
1969,4,3,2,116,1.9392
1969,4,3,3,105,0.8478
1969,4,3,4,91,0.7820
1969,4,3,5,47,1.5579
1969,5,1,1,90,5.1572
1969,5,1,2,89,-0.1789
1969,5,1,3,108,0.1015
1969,5,1,4,128,-0.3186
1969,5,1,5,244,0.8817
1969,5,2,1,63,2.5984
1969,5,2,2,72,-0.7174
1969,5,2,3,66,-0.0917
1969,5,2,4,63,0.2432
1969,5,2,5,72,-0.3951
1969,5,3,1,167,-0.0753
1969,5,3,2,116,0.3299
