year,month,rank_ME,rank_EBP,nstocks,ret_vw
1968,12,2,1,69,-0.8192
1968,12,2,2,63,-0.4273
1968,12,2,3,37,-1.6759
1968,12,2,4,45,0.0211
1968,12,2,5,52,-1.7064
1968,12,3,1,121,-4.9851
1968,12,3,2,91,-4.6486
1968,12,3,3,89,-2.9954
1968,12,3,4,86,-3.4103
1968,12,3,5,44,-2.4376
1969,1,1,1,119,-0.8619
1969,1,1,2,91,-3.2280
1969,1,1,3,103,-1.5922
1969,1,1,4,78,-0.6937
1969,1,1,5,128,-1.9570
1969,1,2,1,69,-2.5563
1969,1,2,2,63,-1.9203
1969,1,2,3,37,-0.4936
1969,1,2,4,45,-0.6969
1969,1,2,5,52,-0.9593
1969,1,3,1,121,-2.4600
1969,1,3,2,91,-1.2577
1969,1,3,3,89,0.5644
1969,1,3,4,86,-0.9631
1969,1,3,5,44,0.1043
1969,2,1,1,119,-11.6682
1969,2,1,2,91,-10.1892
1969,2,1,3,102,-10.9203
1969,2,1,4,78,-8.8507
1969,2,1,5,128,-8.6497
1969,2,2,1,69,-10.6016
1969,2,2,2,63,-7.4238
1969,2,2,3,37,-8.8887
1969,2,2,4,45,-8.7004
1969,2,2,5,52,-7.4345
1969,2,3,1,121,-3.9827
1969,2,3,2,91,-3.1495
1969,2,3,3,89,-5.1292
1969,2,3,4,86,-5.3011
1969,2,3,5,44,-6.9084
1969,3,1,1,119,3.5175
1969,3,1,2,91,3.7477
1969,3,1,3,102,2.1051
1969,3,1,4,78,2.0934
1969,3,1,5,128,2.2695
1969,3,2,1,69,4.0803
1969,3,2,2,63,3.1983
1969,3,2,3,36,0.3059
1969,3,2,4,45,3.9395
1969,3,2,5,52,5.2808
1969,3,3,1,121,3.9776
1969,3,3,2,91,3.8879
1969,3,3,3,89,3.9661
1969,3,3,4,86,2.0013
1969,3,3,5,44,6.0930
1969,4,1,1,119,0.4663
1969,4,1,2,91,-0.0371
1969,4,1,3,102,0.2070
1969,4,1,4,78,0.0545
1969,4,1,5,126,-1.3469
1969,4,2,1,69,1.0869
1969,4,2,2,63,2.1861
1969,4,2,3,35,-0.1537
1969,4,2,4,45,1.7085
1969,4,2,5,52,3.1445
1969,4,3,1,121,3.8219
1969,4,3,2,89,0.9976
1969,4,3,3,89,0.9744
1969,4,3,4,86,2.4160
1969,4,3,5,44,1.8069
1969,5,1,1,119,3.0714
1969,5,1,2,91,1.0105
1969,5,1,3,102,1.6486
1969,5,1,4,78,-0.2232
1969,5,1,5,126,0.1101
1969,5,2,1,69,0.2131
1969,5,2,2,63,-0.0504
1969,5,2,3,36,-1.5079
1969,5,2,4,45,1.6027
1969,5,2,5,52,0.9170
1969,5,3,1,121,-0.4266
1969,5,3,2,89,-0.1628
1969,5,3,3,89,0.2225
1969,5,3,4,86,2.0712
1969,5,3,5,43,1.6204
1969,6,1,1,119,-14.4411
1969,6,1,2,91,-13.6828
1969,6,1,3,102,-12.8353
1969,6,1,4,78,-14.2244
1969,6,1,5,127,-12.1630
1969,6,2,1,69,-10.4148
1969,6,2,2,63,-11.0428
1969,6,2,3,37,-11.9589
1969,6,2,4,45,-10.8831
1969,6,2,5,52,-10.3767
1969,6,3,1,121,-1.6560
1969,6,3,2,90,-6.1706
1969,6,3,3,89,-8.6312
1969,6,3,4,86,-7.6270
1969,6,3,5,43,-9.5326
1969,7,1,1,174,-11.6873
1969,7,1,2,111,-12.9740
1969,7,1,3,113,-11.0988
1969,7,1,4,90,-10.7563
1969,7,1,5,112,-9.4009
1969,7,2,1,89,-9.5416
1969,7,2,2,62,-10.4222
1969,7,2,3,49,-9.4364
1969,7,2,4,47,-8.7431
1969,7,2,5,47,-7.6685
1969,7,3,1,115,-3.8056
1969,7,3,2,95,-6.9363
1969,7,3,3,92,-8.5222
1969,7,3,4,86,-8.1626
1969,7,3,5,70,-5.4895
1969,8,1,1,174,5.0423
1969,8,1,2,111,4.8985
1969,8,1,3,113,4.4597
1969,8,1,4,90,2.8802
1969,8,1,5,112,3.2281
1969,8,2,1,89,7.6526
1969,8,2,2,62,6.8569
1969,8,2,3,49,6.1680
1969,8,2,4,47,4.8916
1969,8,2,5,47,4.8225
1969,8,3,1,115,7.0360
1969,8,3,2,95,4.5780
1969,8,3,3,92,6.1547
1969,8,3,4,86,5.0032
1969,8,3,5,70,2.2028
1969,9,1,1,174,-2.5890
1969,9,1,2,111,-5.2180
1969,9,1,3,113,-4.3848
1969,9,1,4,90,-4.4388
1969,9,1,5,113,-1.6815
1969,9,2,1,89,1.2477
1969,9,2,2,62,0.4763
1969,9,2,3,49,-0.4140
1969,9,2,4,47,-1.7667
1969,9,2,5,47,-2.2680
1969,9,3,1,115,-0.1688
1969,9,3,2,95,-0.9964
1969,9,3,3,91,-3.9652
1969,9,3,4,86,-5.8520
1969,9,3,5,70,-4.1449
1969,10,1,1,173,14.7437
1969,10,1,2,111,12.0627
1969,10,1,3,113,10.4640
1969,10,1,4,90,7.6358
1969,10,1,5,113,7.1294
1969,10,2,1,89,9.5192
1969,10,2,2,61,7.2704
1969,10,2,3,49,8.9074
1969,10,2,4,47,6.2387
1969,10,2,5,47,7.9750
1969,10,3,1,115,6.3461
1969,10,3,2,95,4.8528
1969,10,3,3,91,4.4565
1969,10,3,4,86,2.2337
1969,10,3,5,70,4.4756
1969,11,1,1,173,-6.6264
1969,11,1,2,111,-7.9539
1969,11,1,3,113,-8.1899
1969,11,1,4,90,-6.7985
1969,11,1,5,113,-7.2422
1969,11,2,1,89,-4.2463
1969,11,2,2,61,-3.7787
1969,11,2,3,49,-5.1139
1969,11,2,4,47,-4.5843
1969,11,2,5,47,-5.9127
1969,11,3,1,115,-1.1508
1969,11,3,2,95,-3.2408
1969,11,3,3,92,-2.5843
1969,11,3,4,86,-4.9966
1969,11,3,5,70,-2.1247
1969,12,1,1,174,-6.7252
1969,12,1,2,111,-9.9314
1969,12,1,3,113,-6.1981
1969,12,1,4,90,-8.0852
1969,12,1,5,113,-8.4682
1969,12,2,1,89,-3.3769
1969,12,2,2,61,-4.1080
1969,12,2,3,49,-4.7684
1969,12,2,4,47,-6.1064
1969,12,2,5,47,-5.4984
1969,12,3,1,115,1.6195
1969,12,3,2,95,-2.8088
1969,12,3,3,92,-1.4983
1969,12,3,4,86,-3.0937
1969,12,3,5,70,-5.4198
1970,1,1,1,174,-5.1483
1970,1,1,2,111,-2.9228
1970,1,1,3,113,-5.0613
1970,1,1,4,90,-2.8164
1970,1,1,5,113,-0.7257
