year,month,rank_ME,rank_Rev_12,nstocks,ret_vw
1968,7,3,2,252,-0.1282
1968,7,3,3,253,-1.0433
1968,7,3,4,241,-2.8991
1968,7,3,5,191,-5.5911
1968,8,1,1,332,4.8985
1968,8,1,2,322,5.0643
1968,8,1,3,349,4.1192
1968,8,1,4,303,3.0673
1968,8,1,5,203,2.2240
1968,8,2,1,127,1.9227
1968,8,2,2,152,3.0554
1968,8,2,3,171,4.8779
1968,8,2,4,166,4.7215
1968,8,2,5,150,3.5980
1968,8,3,1,158,1.6950
1968,8,3,2,258,1.4178
1968,8,3,3,257,1.4493
1968,8,3,4,246,1.4955
1968,8,3,5,186,1.2277
1968,9,1,1,324,7.4912
1968,9,1,2,329,6.0484
1968,9,1,3,356,6.1444
1968,9,1,4,314,6.3903
1968,9,1,5,218,8.5633
1968,9,2,1,124,6.6041
1968,9,2,2,153,4.6613
1968,9,2,3,166,6.7659
1968,9,2,4,165,7.6780
1968,9,2,5,152,6.9681
1968,9,3,1,160,3.6899
1968,9,3,2,255,3.8089
1968,9,3,3,254,4.6857
1968,9,3,4,245,3.2597
1968,9,3,5,185,3.6952
1968,10,1,1,317,0.4936
1968,10,1,2,329,0.7406
1968,10,1,3,356,0.5458
1968,10,1,4,323,1.5088
1968,10,1,5,226,-0.5279
1968,10,2,1,125,0.4839
1968,10,2,2,152,1.7806
1968,10,2,3,167,0.6246
1968,10,2,4,171,2.0098
1968,10,2,5,154,0.4111
1968,10,3,1,162,2.5004
1968,10,3,2,256,2.4234
1968,10,3,3,256,1.9463
1968,10,3,4,241,-1.8716
1968,10,3,5,184,-0.8828
1968,11,1,1,301,6.6588
1968,11,1,2,326,6.8271
1968,11,1,3,372,6.5529
1968,11,1,4,341,6.1395
1968,11,1,5,235,8.6866
1968,11,2,1,121,8.0629
1968,11,2,2,145,7.9661
1968,11,2,3,164,8.1013
1968,11,2,4,170,7.5447
1968,11,2,5,156,7.4157
1968,11,3,1,167,5.2819
1968,11,3,2,250,4.0929
1968,11,3,3,252,4.5013
1968,11,3,4,235,7.3198
1968,11,3,5,175,6.8676
1968,12,1,1,292,3.6470
1968,12,1,2,315,2.4091
1968,12,1,3,366,2.0208
1968,12,1,4,343,3.2348
1968,12,1,5,239,3.6814
1968,12,2,1,113,-1.8950
1968,12,2,2,140,-0.5795
1968,12,2,3,158,0.3765
1968,12,2,4,168,-0.2400
1968,12,2,5,160,-1.2431
1968,12,3,1,165,-4.4908
1968,12,3,2,244,-3.4948
1968,12,3,3,239,-2.8066
1968,12,3,4,232,-4.2450
1968,12,3,5,174,-4.5688
1969,1,1,1,276,-0.5639
1969,1,1,2,311,-0.9162
1969,1,1,3,359,-0.8818
1969,1,1,4,342,-0.1559
1969,1,1,5,256,-0.3104
1969,1,2,1,106,-0.2964
1969,1,2,2,136,0.2419
1969,1,2,3,157,-2.1328
1969,1,2,4,166,-0.9219
1969,1,2,5,158,-2.0982
1969,1,3,1,169,0.8066
1969,1,3,2,243,0.4625
1969,1,3,3,233,-0.9760
1969,1,3,4,221,-2.8850
1969,1,3,5,178,-1.8292
1969,2,1,1,256,-11.2360
1969,2,1,2,300,-9.3964
1969,2,1,3,356,-9.7341
1969,2,1,4,347,-10.2612
1969,2,1,5,275,-11.9898
1969,2,2,1,99,-7.9300
1969,2,2,2,128,-6.9010
1969,2,2,3,152,-7.4203
1969,2,2,4,168,-8.1300
1969,2,2,5,154,-9.5357
1969,2,3,1,175,-3.8903
1969,2,3,2,242,-3.8477
1969,2,3,3,239,-4.9460
1969,2,3,4,221,-4.4655
1969,2,3,5,180,-6.5719
1969,3,1,1,246,3.0760
1969,3,1,2,296,1.5319
1969,3,1,3,355,1.8148
1969,3,1,4,347,1.6006
1969,3,1,5,284,2.6107
1969,3,2,1,97,0.4974
1969,3,2,2,124,0.8246
1969,3,2,3,155,3.1363
1969,3,2,4,173,5.3037
1969,3,2,5,154,1.2842
1969,3,3,1,181,0.9387
1969,3,3,2,243,4.2691
1969,3,3,3,240,5.2305
1969,3,3,4,219,4.4046
1969,3,3,5,176,0.9808
1969,4,1,1,230,-1.1624
1969,4,1,2,295,0.2148
1969,4,1,3,353,-0.4219
1969,4,1,4,347,-2.0505
1969,4,1,5,287,-1.5615
1969,4,2,1,96,1.4195
1969,4,2,2,116,0.7210
1969,4,2,3,152,0.0343
1969,4,2,4,165,1.3044
1969,4,2,5,149,1.1906
1969,4,3,1,181,2.9185
1969,4,3,2,238,1.0097
1969,4,3,3,236,1.9116
1969,4,3,4,217,3.2805
1969,4,3,5,173,1.4097
1969,5,1,1,211,2.8177
1969,5,1,2,286,1.6186
1969,5,1,3,354,0.9774
1969,5,1,4,348,1.1841
1969,5,1,5,294,1.2275
1969,5,2,1,95,0.8381
1969,5,2,2,121,0.6265
1969,5,2,3,154,-0.2939
1969,5,2,4,168,2.2196
1969,5,2,5,160,0.3734
