year,month,rank_ME,rank_EMq_1,nstocks,ret_vw
1977,7,3,5,78,-4.0310
1977,8,1,1,172,-1.1472
1977,8,1,2,117,-1.0120
1977,8,1,3,79,-1.0928
1977,8,1,4,78,-0.4442
1977,8,1,5,141,-4.5797
1977,8,2,1,65,-1.7110
1977,8,2,2,61,-2.1699
1977,8,2,3,51,-2.0009
1977,8,2,4,52,-1.9096
1977,8,2,5,50,-0.9489
1977,8,3,1,76,-4.6692
1977,8,3,2,75,-2.1744
1977,8,3,3,97,-2.9946
1977,8,3,4,101,-0.4468
1977,8,3,5,84,-1.6530
1977,9,1,1,168,1.2037
1977,9,1,2,115,2.4613
1977,9,1,3,72,-0.3634
1977,9,1,4,84,1.2795
1977,9,1,5,131,1.6613
1977,9,2,1,69,0.7693
1977,9,2,2,61,3.5757
1977,9,2,3,59,1.3658
1977,9,2,4,46,0.2361
1977,9,2,5,54,1.2079
1977,9,3,1,72,0.7187
1977,9,3,2,73,-0.0253
1977,9,3,3,96,0.7895
1977,9,3,4,97,-0.5680
1977,9,3,5,84,-0.8663
1977,10,1,1,163,-0.5609
1977,10,1,2,114,-2.3439
1977,10,1,3,77,-4.5047
1977,10,1,4,76,-3.6535
1977,10,1,5,133,-3.6490
1977,10,2,1,70,-3.6726
1977,10,2,2,60,-2.4146
1977,10,2,3,58,-4.1035
1977,10,2,4,51,-3.0041
1977,10,2,5,54,-2.3994
1977,10,3,1,70,-2.7253
1977,10,3,2,76,-3.9054
1977,10,3,3,88,-3.7071
1977,10,3,4,102,-5.2151
1977,10,3,5,84,-3.6370
1977,11,1,1,194,11.4631
1977,11,1,2,98,10.3112
1977,11,1,3,95,8.7624
1977,11,1,4,97,10.8965
1977,11,1,5,108,4.3517
1977,11,2,1,70,10.0866
1977,11,2,2,64,10.7853
1977,11,2,3,63,9.0340
1977,11,2,4,48,8.2850
1977,11,2,5,50,3.3875
1977,11,3,1,64,2.1506
1977,11,3,2,83,5.4336
1977,11,3,3,85,5.4227
1977,11,3,4,105,4.7744
1977,11,3,5,91,3.9761
1977,12,1,1,194,2.4689
1977,12,1,2,115,1.9536
1977,12,1,3,80,0.7695
1977,12,1,4,103,1.5645
1977,12,1,5,107,1.4830
1977,12,2,1,68,-0.7306
1977,12,2,2,58,1.4065
1977,12,2,3,73,2.5855
1977,12,2,4,51,1.5474
1977,12,2,5,49,-1.2564
1977,12,3,1,73,2.3491
1977,12,3,2,78,-0.2964
1977,12,3,3,94,1.0443
1977,12,3,4,97,-1.0044
1977,12,3,5,84,-0.5747
1978,1,1,1,197,-0.6565
1978,1,1,2,113,-2.5385
1978,1,1,3,87,0.4983
1978,1,1,4,92,-0.2695
1978,1,1,5,104,0.4152
1978,1,2,1,74,-4.2131
1978,1,2,2,56,-4.5335
1978,1,2,3,61,-4.3727
1978,1,2,4,55,-4.9978
1978,1,2,5,58,-1.2071
1978,1,3,1,71,-6.2409
1978,1,3,2,82,-6.3372
1978,1,3,3,94,-6.7923
1978,1,3,4,96,-7.9551
1978,1,3,5,86,-4.9055
1978,2,1,1,178,3.7421
1978,2,1,2,104,4.3878
1978,2,1,3,96,3.3712
1978,2,1,4,76,2.7108
1978,2,1,5,118,2.1426
1978,2,2,1,64,0.9795
1978,2,2,2,54,5.2075
1978,2,2,3,64,3.1576
1978,2,2,4,42,1.5992
1978,2,2,5,67,0.3449
1978,2,3,1,68,-0.5971
1978,2,3,2,85,-0.8126
1978,2,3,3,92,-1.9392
1978,2,3,4,92,-2.1318
1978,2,3,5,80,-2.4513
1978,3,1,1,177,10.2008
1978,3,1,2,104,7.9004
1978,3,1,3,96,7.7161
1978,3,1,4,75,7.0524
1978,3,1,5,122,5.6883
1978,3,2,1,69,6.3448
1978,3,2,2,51,8.3992
1978,3,2,3,53,4.5813
1978,3,2,4,46,8.0052
1978,3,2,5,66,4.0906
1978,3,3,1,60,4.7129
1978,3,3,2,87,4.0327
1978,3,3,3,97,2.4029
1978,3,3,4,93,2.7606
1978,3,3,5,79,0.6437
1978,4,1,1,166,8.0220
1978,4,1,2,120,6.3774
1978,4,1,3,89,12.1041
1978,4,1,4,76,7.3726
1978,4,1,5,126,6.8301
1978,4,2,1,69,8.6383
1978,4,2,2,51,9.0517
1978,4,2,3,57,8.0929
1978,4,2,4,45,4.7531
1978,4,2,5,62,4.6342
1978,4,3,1,64,8.6472
1978,4,3,2,87,8.7633
1978,4,3,3,90,9.5300
1978,4,3,4,96,6.0638
1978,4,3,5,75,3.4929
1978,5,1,1,173,8.5588
1978,5,1,2,125,8.1966
1978,5,1,3,91,8.5077
1978,5,1,4,104,5.6930
1978,5,1,5,116,5.1222
1978,5,2,1,75,5.1251
1978,5,2,2,67,5.0334
1978,5,2,3,63,6.1088
1978,5,2,4,63,5.5030
1978,5,2,5,58,5.4542
1978,5,3,1,84,1.1256
1978,5,3,2,89,2.8052
1978,5,3,3,101,2.0686
1978,5,3,4,106,0.3148
1978,5,3,5,101,1.1724
1978,6,1,1,169,0.1604
1978,6,1,2,116,0.5655
1978,6,1,3,96,-0.7456
