year,month,rank_ME,rank_BMJ,nstocks,ret_vw
1969,6,1,5,114,-10.9922
1969,6,2,1,89,-11.2418
1969,6,2,2,61,-10.6166
1969,6,2,3,43,-10.5210
1969,6,2,4,58,-9.4802
1969,6,2,5,59,-9.5917
1969,6,3,1,136,-2.4184
1969,6,3,2,110,-5.9524
1969,6,3,3,103,-8.0683
1969,6,3,4,96,-8.0773
1969,6,3,5,69,-6.8740
1969,7,1,1,167,-13.5239
1969,7,1,2,142,-12.3578
1969,7,1,3,135,-10.3365
1969,7,1,4,113,-11.2991
1969,7,1,5,138,-7.9781
1969,7,2,1,97,-9.5822
1969,7,2,2,73,-8.5818
1969,7,2,3,58,-10.9609
1969,7,2,4,51,-6.2845
1969,7,2,5,61,-7.5437
1969,7,3,1,145,-4.5041
1969,7,3,2,114,-6.0060
1969,7,3,3,111,-8.2421
1969,7,3,4,107,-5.2710
1969,7,3,5,68,-7.8187
1969,8,1,1,167,6.4404
1969,8,1,2,142,5.6964
1969,8,1,3,135,3.2722
1969,8,1,4,113,1.9153
1969,8,1,5,138,2.3557
1969,8,2,1,97,8.5253
1969,8,2,2,73,5.5493
1969,8,2,3,58,6.0071
1969,8,2,4,51,1.8225
1969,8,2,5,61,4.3520
1969,8,3,1,145,6.8052
1969,8,3,2,114,4.3103
1969,8,3,3,111,3.8686
1969,8,3,4,107,3.3551
1969,8,3,5,68,1.6866
1969,9,1,1,167,-1.2899
1969,9,1,2,142,-5.5067
1969,9,1,3,135,-4.2410
1969,9,1,4,113,-4.4248
1969,9,1,5,139,-2.8275
1969,9,2,1,97,1.9482
1969,9,2,2,72,-0.9491
1969,9,2,3,58,-1.0883
1969,9,2,4,51,-2.4038
1969,9,2,5,61,-1.7854
1969,9,3,1,145,-0.2794
1969,9,3,2,114,-1.6649
1969,9,3,3,111,-4.5824
1969,9,3,4,106,-5.0609
1969,9,3,5,68,-4.2778
1969,10,1,1,167,12.4234
1969,10,1,2,142,14.1633
1969,10,1,3,134,9.9880
1969,10,1,4,113,8.8231
1969,10,1,5,139,7.7561
1969,10,2,1,96,9.2039
1969,10,2,2,72,7.0595
1969,10,2,3,58,7.8233
1969,10,2,4,51,8.0207
1969,10,2,5,61,7.6679
1969,10,3,1,145,5.9096
1969,10,3,2,114,5.5047
1969,10,3,3,111,3.7871
1969,10,3,4,106,3.4292
1969,10,3,5,68,6.5320
1969,11,1,1,167,-8.2782
1969,11,1,2,142,-7.4996
1969,11,1,3,134,-6.9700
1969,11,1,4,113,-5.9360
1969,11,1,5,139,-6.8564
1969,11,2,1,95,-4.2283
1969,11,2,2,72,-4.5544
1969,11,2,3,58,-4.5948
1969,11,2,4,51,-4.0404
1969,11,2,5,61,-6.2394
1969,11,3,1,145,-1.7077
1969,11,3,2,114,-3.3421
1969,11,3,3,111,-3.9076
1969,11,3,4,107,-2.7749
1969,11,3,5,68,-5.8199
1969,12,1,1,167,-7.1628
1969,12,1,2,142,-8.8084
1969,12,1,3,135,-6.6754
1969,12,1,4,113,-8.4020
1969,12,1,5,139,-8.5361
1969,12,2,1,95,-3.1435
1969,12,2,2,72,-4.1415
1969,12,2,3,58,-4.2998
1969,12,2,4,51,-4.9934
1969,12,2,5,61,-6.2388
1969,12,3,1,145,0.6828
1969,12,3,2,114,-2.5830
1969,12,3,3,111,-1.3715
1969,12,3,4,107,-3.8790
1969,12,3,5,68,-4.1964
1970,1,1,1,167,-6.5214
1970,1,1,2,142,-3.4524
1970,1,1,3,135,-3.4006
1970,1,1,4,113,-1.9503
1970,1,1,5,139,-0.4826
1970,1,2,1,94,-5.7583
1970,1,2,2,72,-8.3040
1970,1,2,3,58,-6.1515
1970,1,2,4,51,-2.1342
1970,1,2,5,61,-3.1393
1970,1,3,1,144,-7.9891
1970,1,3,2,114,-7.6942
1970,1,3,3,111,-9.8901
1970,1,3,4,107,-6.2552
1970,1,3,5,68,-5.4651
1970,2,1,1,167,2.3607
1970,2,1,2,142,3.8931
1970,2,1,3,135,2.7866
1970,2,1,4,113,3.0226
1970,2,1,5,139,3.6461
1970,2,2,1,93,4.5052
1970,2,2,2,72,2.2331
1970,2,2,3,58,2.6708
1970,2,2,4,51,5.9161
1970,2,2,5,61,6.9937
1970,2,3,1,144,3.3431
1970,2,3,2,114,7.3918
1970,2,3,3,111,6.1967
1970,2,3,4,107,8.7940
1970,2,3,5,68,7.8131
1970,3,1,1,167,-6.8775
1970,3,1,2,142,-5.4359
1970,3,1,3,135,-3.5093
1970,3,1,4,113,-0.6892
1970,3,1,5,139,-0.2540
1970,3,2,1,96,-5.7030
1970,3,2,2,72,-1.1703
1970,3,2,3,58,-0.6780
1970,3,2,4,51,1.4896
1970,3,2,5,61,0.4814
1970,3,3,1,145,-2.0746
1970,3,3,2,114,0.9758
1970,3,3,3,111,1.9710
1970,3,3,4,107,1.2577
1970,3,3,5,68,0.9169
1970,4,1,1,165,-23.6511
1970,4,1,2,142,-20.8440
1970,4,1,3,135,-15.9237
1970,4,1,4,113,-13.3560
1970,4,1,5,139,-12.0914
1970,4,2,1,97,-21.2347
1970,4,2,2,72,-12.9250
1970,4,2,3,58,-15.5258
1970,4,2,4,51,-8.6330
1970,4,2,5,61,-11.9720
1970,4,3,1,145,-10.6687
1970,4,3,2,114,-9.3114
1970,4,3,3,111,-8.9467
1970,4,3,4,107,-7.6139
1970,4,3,5,68,-8.6146
1970,5,1,1,165,-10.6450
1970,5,1,2,142,-9.3251
1970,5,1,3,133,-10.0798
1970,5,1,4,113,-7.8345
1970,5,1,5,139,-8.8831
1970,5,2,1,96,-10.8306
1970,5,2,2,72,-11.6548
1970,5,2,3,58,-10.7837
1970,5,2,4,51,-6.7751
1970,5,2,5,61,-9.3653
1970,5,3,1,145,-8.4332
1970,5,3,2,114,-5.8449
1970,5,3,3,111,-2.1661
1970,5,3,4,107,-3.2459
1970,5,3,5,68,-5.4832
1970,6,1,1,165,-12.2725
1970,6,1,2,141,-9.4238
1970,6,1,3,132,-5.9307
1970,6,1,4,113,-8.3613
1970,6,1,5,139,-6.9566
1970,6,2,1,96,-8.1667
1970,6,2,2,72,-5.1261
1970,6,2,3,58,-9.0429
1970,6,2,4,51,-4.7124
1970,6,2,5,61,-7.0689
1970,6,3,1,145,-5.4773
1970,6,3,2,114,-4.9805
1970,6,3,3,111,-2.4854
1970,6,3,4,107,-5.4863
1970,6,3,5,68,-7.5320
1970,7,1,1,91,3.3294
1970,7,1,2,145,5.0353
1970,7,1,3,137,5.1870
1970,7,1,4,211,3.7396
1970,7,1,5,218,6.0851
1970,7,2,1,87,6.6409
1970,7,2,2,75,8.5875
1970,7,2,3,71,6.9476
1970,7,2,4,70,7.6157
1970,7,2,5,66,8.0362
1970,7,3,1,178,4.8550
1970,7,3,2,132,8.3320
1970,7,3,3,116,10.4785
1970,7,3,4,80,9.7074
1970,7,3,5,59,7.5308
1970,8,1,1,91,4.5589
1970,8,1,2,144,5.3586
1970,8,1,3,137,5.5942
1970,8,1,4,210,7.9258
1970,8,1,5,217,6.6726
1970,8,2,1,87,4.7958
1970,8,2,2,75,5.9946
1970,8,2,3,71,7.4106
1970,8,2,4,70,7.0164
1970,8,2,5,66,10.8867
1970,8,3,1,178,3.9670
1970,8,3,2,132,5.9129
1970,8,3,3,116,4.9017
1970,8,3,4,80,5.8853
1970,8,3,5,58,7.5104
1970,9,1,1,90,19.2009
1970,9,1,2,143,17.0799
1970,9,1,3,137,14.0955
1970,9,1,4,210,14.2492
1970,9,1,5,217,13.7643
1970,9,2,1,87,13.7848
1970,9,2,2,75,10.1543
1970,9,2,3,71,10.2741
1970,9,2,4,70,10.6091
1970,9,2,5,66,12.0384
1970,9,3,1,178,6.6341
1970,9,3,2,131,0.7589
1970,9,3,3,116,1.1306
1970,9,3,4,80,2.7132
1970,9,3,5,58,4.3882
1970,10,1,1,90,-8.3260
1970,10,1,2,142,-7.9509
1970,10,1,3,137,-6.4224
1970,10,1,4,210,-9.3544
1970,10,1,5,218,-7.1126
1970,10,2,1,87,-3.4449
1970,10,2,2,75,-3.9312
1970,10,2,3,71,-6.5188
1970,10,2,4,70,-5.2822
1970,10,2,5,66,-6.0360
1970,10,3,1,178,-0.2195
1970,10,3,2,131,-1.7692
1970,10,3,3,116,-1.2320
1970,10,3,4,80,-0.8827
1970,10,3,5,58,-6.2169
1970,11,1,1,90,-4.4178
1970,11,1,2,142,-3.1732
1970,11,1,3,137,-0.9794
1970,11,1,4,210,-1.8700
1970,11,1,5,217,0.0180
1970,11,2,1,87,1.7309
1970,11,2,2,75,2.7700
1970,11,2,3,71,3.1810
1970,11,2,4,70,3.2276
1970,11,2,5,66,3.5526
1970,11,3,1,178,5.0555
1970,11,3,2,131,5.9342
1970,11,3,3,116,5.9652
1970,11,3,4,80,5.4890
1970,11,3,5,58,5.1237
1970,12,1,1,90,6.1464
1970,12,1,2,142,8.8456
1970,12,1,3,137,8.8132
1970,12,1,4,209,11.2692
1970,12,1,5,217,10.7594
1970,12,2,1,87,7.8804
1970,12,2,2,75,8.7029
1970,12,2,3,71,6.9775
1970,12,2,4,70,8.5213
1970,12,2,5,66,9.8127
1970,12,3,1,178,4.9167
1970,12,3,2,131,6.5869
1970,12,3,3,116,5.9998
1970,12,3,4,80,7.2017
1970,12,3,5,58,9.0089
1971,1,1,1,89,13.0662
1971,1,1,2,142,13.4798
1971,1,1,3,137,14.6264
1971,1,1,4,209,15.7437
1971,1,1,5,216,16.2964
1971,1,2,1,86,7.1447
1971,1,2,2,75,10.5217
