year,month,rank_ME,rank_EP,nstocks,ret_vw
1968,6,1,2,63,1.8760
1968,6,1,3,75,1.1158
1968,6,1,4,116,0.0457
1968,6,1,5,204,0.4515
1968,6,2,1,51,-3.1717
1968,6,2,2,42,0.5592
1968,6,2,3,57,1.2603
1968,6,2,4,82,-0.1840
1968,6,2,5,68,1.5400
1968,6,3,1,159,-0.4459
1968,6,3,2,138,2.3213
1968,6,3,3,112,2.2969
1968,6,3,4,69,3.2151
1968,6,3,5,53,-1.9979
1968,7,1,1,183,-4.8408
1968,7,1,2,91,-4.2160
1968,7,1,3,97,-3.4574
1968,7,1,4,73,-4.1126
1968,7,1,5,144,-2.1100
1968,7,2,1,89,-5.6641
1968,7,2,2,58,-5.8101
1968,7,2,3,50,-2.4323
1968,7,2,4,62,-2.2304
1968,7,2,5,69,-1.8235
1968,7,3,1,128,-5.4931
1968,7,3,2,113,-3.2835
1968,7,3,3,113,-1.2542
1968,7,3,4,102,2.2659
1968,7,3,5,74,1.0758
1968,8,1,1,183,5.4662
1968,8,1,2,91,4.8114
1968,8,1,3,97,3.1802
1968,8,1,4,73,4.9012
1968,8,1,5,144,4.0629
1968,8,2,1,89,3.2483
1968,8,2,2,58,3.0524
1968,8,2,3,50,3.9694
1968,8,2,4,61,3.4194
1968,8,2,5,69,4.7966
1968,8,3,1,127,0.7081
1968,8,3,2,113,2.5673
1968,8,3,3,113,1.6734
1968,8,3,4,102,1.5882
1968,8,3,5,74,0.4284
1968,9,1,1,183,8.2235
1968,9,1,2,91,7.7414
1968,9,1,3,97,8.2879
1968,9,1,4,73,5.2987
1968,9,1,5,144,6.7020
1968,9,2,1,89,9.1888
1968,9,2,2,58,6.9411
1968,9,2,3,50,6.2931
1968,9,2,4,60,6.1812
1968,9,2,5,69,4.5334
1968,9,3,1,127,2.4687
1968,9,3,2,113,4.6375
1968,9,3,3,113,5.1018
1968,9,3,4,102,3.3290
1968,9,3,5,74,6.3608
1968,10,1,1,183,-1.7089
1968,10,1,2,91,1.3196
1968,10,1,3,96,1.5013
1968,10,1,4,73,2.7611
1968,10,1,5,144,0.9112
